id,pid,date,time,quantity,price,cid,card,reward_account
ae32b2fe-ec41-4201-9237-be07847ca300,575,2018-06-12,2:03 AM,24,599.76,110,24645183-2901-473c-a67f-3590ef6771ed,
797a23cb-8a80-4ee8-8fdb-fc896928076a,38,2019-09-08,8:26 AM,22,2859.78,177,bf9d3737-cac5-423e-b386-017cf0a93d8f,fc59b5c4-c925-4a29-9f33-ec00a8b36e2a
ec012d98-d013-4cf7-963e-9fa95a131367,416,2019-04-24,11:06 PM,5,24.95,440,fd928a57-5e52-406b-b482-e71f5affd18f,cf2ae24c-3743-4228-bea1-a8d88a8c296a
058a5750-8de9-40ca-ae42-9f2546994f64,211,2015-06-17,6:47 PM,18,357.84,184,8e6c02af-016e-47a3-8216-29ed6508beb9,3307ec7f-ad90-439a-8e94-bfb3538b67e4
b9ead55b-8f5a-44a2-acbd-94b9230ec00b,154,2014-02-07,12:45 PM,15,224.85,84,505dfd7e-4320-4c86-884d-6be2efc73687,5c40292a-c12b-436a-9fae-bb382b6aefa0
ccd92cce-c0a5-4932-82ce-a4fd7b8974e1,161,2020-02-04,12:09 PM,15,374.85,87,45586323-5f53-4e91-8a4e-021f418ca38b,2417fb8c-bfe7-47ca-85e7-5d433bd5da72
6678f620-2b3d-4e87-89c4-ebef39b3e9c6,499,2018-08-09,9:52 AM,17,5099.15,406,a2ec5e97-a950-475d-bfc0-1e05fbbbeec3,a1acb218-41b9-4956-96f2-380652dace97
8f439848-cda1-4d66-bbf3-8f2fc13053fc,201,2011-08-28,8:35 AM,8,159.92,278,92deac9e-d06f-474e-b720-96a87e8b5fe5,
4c40103f-253f-480e-bea8-28be9727cac1,291,2015-12-04,1:39 AM,23,919.77,356,eb5a6c30-fb12-4511-b35e-63bd53aca0e0,
e23b71c6-63f6-4348-8aa4-7b4178bfe70f,397,2013-10-12,6:52 AM,15,1949.85,274,86d4a298-184b-479c-80d7-822dbab24d3a,96409fd3-973b-439a-a505-6744ae7c0405
a6bab256-36f8-47a6-ba84-2587f00e8389,535,2021-09-07,10:07 PM,3,59.97,250,f577d457-66fb-40e2-8bf1-1e234e1548d7,
06888548-7807-4128-bbf9-6a1e8e8b6ebe,546,2014-01-04,2:52 AM,14,699.86,174,276aa8f4-f169-47d8-a35f-82c7e35c33ba,
9f5582b6-ba46-463b-87ae-7a70407cb7af,428,2012-11-08,12:32 PM,21,209.79,337,379ccbf5-534c-4326-9f1c-689387dd2066,
08279130-79d7-443d-b242-70cad0dac4f6,11,2022-12-19,12:39 PM,4,119.96,44,d3463e18-9f9f-4461-b10d-6b96cee8e7cf,5259e234-a2fe-4d61-9df9-bb5f670d2a13
17a65e30-1cb7-4be5-80be-bb33433b5e21,340,2015-05-21,10:37 AM,1,11.99,190,ae512ae2-01ef-4f5b-9b5e-eaba0dd1b528,30f4fbe8-0850-4de0-bc1b-189cbef91321
a44e859a-8dc5-4ba7-a977-9e1f19786f31,210,2013-05-13,1:39 AM,17,340,126,dedb2077-852b-419e-9ef4-9f2c84a88bd4,5503168c-51a7-478e-93a9-9a89968eccba
ed5f90c3-9acf-4878-97fc-ac09fa6bd18b,531,2016-12-04,5:47 PM,14,839.86,72,91ca827f-d803-475e-8a8d-38ca36e0ff3e,
6c77b7e8-e42c-4ea8-8930-233433467344,386,2020-11-04,7:43 AM,19,56.81,485,ef01a000-366a-4485-9085-9244d18f4ff1,6a503691-e301-4aa6-8f40-e4b98cd55708
33bd2f61-8127-472d-8c36-95f625c929bc,494,2020-05-20,11:40 AM,4,11.96,3,fb9f6941-df44-4260-b55e-1bd7a3f5c9ec,26de752e-7315-4eec-afb6-ad6f729bc2df
dbdbdebf-dc65-439c-b507-77aa2d6ad053,459,2011-12-19,3:37 AM,5,16.5,193,9f913519-965a-4d7b-b4f0-62fa89b94dff,4f9f0f65-b45d-47a2-8044-fa976fd1e804
94169717-9e89-405a-8e7a-7198d124da00,132,2017-09-24,2:43 PM,8,159.92,349,0ba9b410-4093-4173-ba29-c06ea7b26923,220d2c73-a2b7-459b-87da-3457d682b586
52649de5-447c-453e-b196-5f9d4a056456,516,2011-11-14,7:38 PM,10,2000,479,4546923e-604c-4fe4-8582-ec3f1cd7e0db,224c1228-89b2-4528-a412-e5b482f09302
730b7942-74b1-45e3-b4c1-9a08d351872e,333,2011-12-10,10:54 PM,11,274.89,77,33e15f09-a274-4345-9933-83f436491821,
e5d4aa4a-6789-4b1e-aab0-28a0ed401ff0,498,2012-03-12,9:24 PM,2,9.38,243,a0351702-9395-43e7-810d-e5b28d1bbb9f,6b8ddf1e-ce36-46b4-abda-b613ed508fca
