ProductID,PackagedOn,SkidID,SkidName,Pallet,Quantity,UOM,PickupDate,Warehouse,Distributor,Truck,Truck_Label,Customer,DeliveryDate,DistributionID,DistributionName,SourceName
MD001PL01K50L07012020MD001Keg50Liter,2020-07-09,MD001PL01K50L07012020MD001Keg50Liter_P005,Munich Dunkel Keg 50 Liter - P005,P005,20,EA,2020-07-15,W001,D002,TRK002,Truck 002,93848,2020-07-23,MD001PL01K50L07012020MD001Keg50Liter_93848,Distribution for Wrigley Field Chicago Inc,Manhattan
MD001PL01K50L07012020MD002Keg50Liter,2020-07-09,MD001PL01K50L07012020MD001Keg50Liter_P002,Munich Dunkel Keg 50 Liter - P002,P002,20,EA,2020-07-15,W001,D002,TRK001,Truck 001,93848,2020-07-23,MD001PL01K50L07012020MD001Keg50Liter_93848,Distribution for Wrigley Field Chicago Inc,Manhattan
MD001PL01K50L07012020MD003Keg50Liter,2020-07-09,MD001PL01K50L07012020MD001Keg50Liter_P003,Munich Dunkel Keg 50 Liter - P003,P003,20,EA,2020-07-15,W001,D002,TRK001,Truck 001,93848,2020-07-23,MD001PL01K50L07012020MD001Keg50Liter_93848,Distribution for Wrigley Field Chicago Inc,Manhattan
MD001PL01K50L07012020MD004Keg50Liter,2020-07-09,MD001PL01K50L07012020MD001Keg50Liter_P004,Munich Dunkel Keg 50 Liter - P004,P004,20,EA,2020-07-15,W001,D002,TRK001,Truck 001,93848,2020-07-23,MD001PL01K50L07012020MD001Keg50Liter_93848,Distribution for Wrigley Field Chicago Inc,Manhattan
MD001PL01K50L07012020MD005Keg50Liter,2020-07-09,MD001PL01K50L07012020MD001Keg50Liter_P001,Munich Dunkel Keg 50 Liter - P001,P001,20,EA,2020-07-15,W002,D001,TRK002,Truck 002,93848,2020-07-23,MD001PL01K50L07012020MD001Keg50Liter_93848,Distribution for Wrigley Field Chicago Inc,Manhattan
MD001PL01K50L07012020MD006Keg50Liter,2020-07-09,MD001PL01K50L07012020MD001Keg50Liter_P006,Munich Dunkel Keg 50 Liter - P006,P006,20,EA,2020-07-15,W002,D001,TRK002,Truck 002,47465,2020-07-23,MD001PL01K50L07012020MD001Keg50Liter_C002,Distribution for Indianopolis Motor Speedway Inc,Manhattan
MD001PL01K50L07012020MD007Keg50Liter,2020-07-09,MD001PL01K50L07012020MD001Keg50Liter_P007,Munich Dunkel Keg 50 Liter - P007,P007,20,EA,2020-07-15,W002,D001,TRK002,Truck 002,47465,2020-07-23,MD001PL01K50L07012020MD001Keg50Liter_C002,Distribution for Indianopolis Motor Speedway Inc,Manhattan
MD001PL01K50L07012020MD008Keg50Liter,2020-07-09,MD001PL01K50L07012020MD001Keg50Liter_P008,Munich Dunkel Keg 50 Liter - P008,P008,20,EA,2020-07-15,W002,D001,TRK002,Truck 002,47465,2020-07-23,MD001PL01K50L07012020MD001Keg50Liter_C002,Distribution for Indianopolis Motor Speedway Inc,Manhattan
MD001PL01K50L07012020MD009Keg50Liter,2020-07-09,MD001PL01K50L07012020MD001Keg50Liter_P009,Munich Dunkel Keg 50 Liter - P009,P009,20,EA,2020-07-15,W002,D001,TRK004,Truck 004,47465,2020-07-23,MD001PL01K50L07012020MD001Keg50Liter_C002,Distribution for Indianopolis Motor Speedway Inc,Manhattan
MD001PL01K50L07012020MD010Keg50Liter,2020-07-09,MD001PL01K50L07012020MD001Keg50Liter_P010,Munich Dunkel Keg 50 Liter - P010,P010,20,EA,2020-07-15,W002,D001,TRK004,Truck 004,47465,2020-07-23,MD001PL01K50L07012020MD001Keg50Liter_C002,Distribution for Indianopolis Motor Speedway Inc,Manhattan
